"","Anio","Bloque","X_UTM","Y_UTM","Altitud","Inc","Sevmed","LonBrot","Afmed","CA","RA","Color"
"228",2016,"Alta",605723.5343,2181018.051,2992.4,1,0.372333333,10,0.315666667,15.58441558,84.41558442,2
"229",2016,"Alta",605720.3726,2181021.02,2993.1,1,0.422,6.5,0.248466667,3.260869565,96.73913043,2
"230",2016,"Alta",605728.6395,2181040.769,2979.2,1,0.265333333,7.5,0.175,18.8976378,81.1023622,2
"231",2016,"Alta",605750.3759,2181086.607,2973.2,1,0.467666667,7.6,0.297433333,26.59574468,73.40425532,2
"232",2016,"Alta",605752.4903,2181083.521,2973.3,0.6,0.046333333,9.6,0.273,4.464285714,95.53571429,1
"233",2016,"Alta",605758.8875,2181065.187,2978.5,1,0.577,8,0.321266667,7.142857143,92.85714286,2
"234",2016,"Alta",605746.3904,2181051.832,2979.5,1,0.389333333,8,0.313166667,9.166666667,90.83333333,2
"235",2016,"Media",605743.3129,2181040.635,2980.2,1,0.347666667,10.2,0.423433333,7.874015748,92.12598425,2
"236",2016,"Media",605734.9078,2181044.127,2980.2,1,0.425666667,8.9,0.462033333,6.666666667,93.33333333,2
"237",2016,"Media",605734.3542,2181049.104,2979.7,1,0.236666667,9.7,0.325933333,0.833333333,99.16666667,2
"238",2016,"Media",605734.3628,2181047.665,2979.8,1,0.331,11.7,0.505666667,7.317073171,92.68292683,3
"239",2016,"Media",605740.8457,2181032.541,2979.4,1,0.502333333,7,0.377466667,7,93,2
"240",2016,"Media",605727.6192,2181036.115,2979.4,0.433333333,0.02,9.4,0.3677,26.27118644,73.72881356,2
"241",2016,"Media",605728.681,2181033.797,2978.5,0.833333333,0.202333333,11,0.280166667,8.737864078,91.26213592,2
"242",2016,"Media",605734.5193,2181021.326,2992.1,1,0.361,9,0.303233333,2,98,2
"243",2016,"Media",605741.3662,2181015.501,2992.9,1,0.429,7.4,0.2966,5.555555556,94.44444444,2
